sequenceID	source.name	length	isolate	host_species	collection_year	collection_month	collection_month_day	submission_year	submission_month	submission_month_day	place_sampled	m49_country.display_name	m49_country.m49_sub_region.display_name	m49_country.m49_region.display_name	gisaid_passage_details	gisaid_status_code	gisaid_status_comment	gisaid_originating_lab	gisaid_submitting_lab	gisaid_authors	analyse_variation	ref_tree_candidate	include_in_ref_tree	cdhit_cluster	is_l_lineage
EPI_ISL_402119	cov-gisaid	29891	Wuhan/IVDC-HB-01/2019	Human	2019	DEC	30	2020	JAN	10	Asia / China / Hubei / Wuhan	China	Eastern Asia	Asia	Virus Isolate, Passage 1	normal	-	National Institute for Viral Disease Control and Prevention, China CDC	National Institute for Viral Disease Control and Prevention, China CDC	Wenjie Tan，Xiang Zhao，Wenling Wang，Xuejun Ma，Yongzhong Jiang，Roujian Lu, Ji Wang, Weimin Zhou，Peihua Niu，Peipei Liu，Faxian Zhan，Weifeng Shi，Baoying Huang，Jun Liu，Li Zhao，Yao Meng，Xiaozhou He，Fei Ye，Na Zhu，Yang Li，Jing Chen，Wenbo Xu，George F. Gao，Guizhen Wu	true	true	true	0	true
EPI_ISL_402120	cov-gisaid	29896	Wuhan/IVDC-HB-04/2020	Human	2020	JAN	1	2020	JAN	11	Asia / China / Hubei / Wuhan	China	Eastern Asia	Asia	Original	normal	-	National Institute for Viral Disease Control and Prevention, China CDC	National Institute for Viral Disease Control and Prevention, China CDC	Wenjie Tan，Xiang Zhao，Wenling Wang，Xuejun Ma，Yongzhong Jiang，Roujian Lu，Ji Wang，Weimin Zhou，Peihua Niu，Peipei Liu，Faxian Zhan，Weifeng Shi，Baoying Huang，Jun Liu，Li Zhao，Yao Meng，Xiaozhou He，Fei Ye，Na Zhu，Yang Li，Jing Chen，Wenbo Xu，George F. Gao，Guizhen Wu	true	true	false	0	-
EPI_ISL_402121	cov-gisaid	29891	Wuhan/IVDC-HB-05/2019	Human	2019	DEC	30	2020	JAN	10	Asia / China / Hubei / Wuhan	China	Eastern Asia	Asia	Original	normal	-	National Institute for Viral Disease Control and Prevention, China CDC	National Institute for Viral Disease Control and Prevention, China CDC	Wenjie Tan，Xuejun Ma，Xiang Zhao，Wenling Wang，Yongzhong Jiang，Roujian Lu，Ji Wang，Peihua Niu, Weimin Zhou, Faxian Zhan，Weifeng Shi，Baoying Huang，Jun Liu，Li Zhao，Yao Meng，Fei Ye，Na Zhu, Xiaozhou He，Peipei Liu, Yang Li，Jing Chen，Wenbo Xu，George F. Gao，Guizhen Wu	true	true	false	0	-
EPI_ISL_402123	cov-gisaid	29899	Wuhan/IPBCAMS-WH-01/2019	Human	2019	DEC	24	2020	JAN	11	Asia / China / Hubei / Wuhan	China	Eastern Asia	Asia	Original	normal	-	Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College	Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College	Lili Ren, Jianwei Wang, Qi Jin, Zichun Xiang, Zhiqiang Wu, Chao Wu, Yiwei Liu	true	true	false	0	-
EPI_ISL_402124	cov-gisaid	29891	Wuhan/WIV04/2019	Human	2019	DEC	30	2020	JAN	11	Asia / China / Hubei / Wuhan	China	Eastern Asia	Asia	Original	normal	-	Wuhan Jinyintan Hospital	Wuhan Institute of Virology, Chinese Academy of Sciences	Peng Zhou, Xing-Lou Yang, Ding-Yu Zhang, Lei Zhang, Yan Zhu, Hao-Rui Si, Zhengli Shi	true	true	false	0	-
EPI_ISL_402125	cov-gisaid	29903	Wuhan-Hu-1/2019	Human	2019	DEC	31	2020	JAN	12	Asia / China	China	Eastern Asia	Asia	unknown	normal	-	unknown	National Institute for Communicable Disease Control and Prevention (ICDC) Chinese Center for Disease Control and Prevention (China CDC)	Zhang,Y.-Z., Wu,F., Chen,Y.-M., Pei,Y.-Y., Xu,L., Wang,W., Zhao,S., Yu,B., Hu,Y., Tao,Z.-W., Song,Z.-G., Tian,J.-H., Zhang,Y.-L., Liu,Y., Zheng,J.-J., Dai,F.-H., Wang,Q.-M., She,J.-L. and Zhu,T.-Y.	true	true	true	0	true
EPI_ISL_402126	cov-gisaid	369	Kanagawa/1/2020	Human	2020	JAN	14	2020	JAN	16	Asia / Japan / Kanagawa	Japan	Eastern Asia	Asia	Original	normal	-	Dept. of Virology III, National Institute of Infectious Diseases	Dept. of Virology III, National Institute of Infectious Diseases	Naganori Nao, Kazuya Shirato, Shutoku Matsuyama, Makoto Takeda	-	false	-	-	-
EPI_ISL_402127	cov-gisaid	29825	Wuhan/WIV02/2019	Human	2019	DEC	30	2020	JAN	18	Asia / China / Hubei / Wuhan	China	Eastern Asia	Asia	Original	normal	-	Wuhan Jinyintan Hospital	Wuhan Institute of Virology, Chinese Academy of Sciences	Peng Zhou, Xing-Lou Yang, Ding-Yu Zhang, Lei Zhang, Yan Zhu, Hao-Rui Si, Zhengli Shi	true	true	false	0	-
EPI_ISL_402128	cov-gisaid	29852	Wuhan/WIV05/2019	Human	2019	DEC	30	2020	JAN	18	Asia / China / Hubei / Wuhan	China	Eastern Asia	Asia	Original	normal	-	Wuhan Jinyintan Hospital	Wuhan Institute of Virology, Chinese Academy of Sciences	Peng Zhou, Xing-Lou Yang, Ding-Yu Zhang, Lei Zhang, Yan Zhu, Hao-Rui Si, Zhengli Shi	true	true	false	0	-
EPI_ISL_402129	cov-gisaid	29854	Wuhan/WIV06/2019	Human	2019	DEC	30	2020	JAN	18	Asia / China / Hubei / Wuhan	China	Eastern Asia	Asia	Original	normal	-	Wuhan Jinyintan Hospital	Wuhan Institute of Virology, Chinese Academy of Sciences	Peng Zhou, Xing-Lou Yang, Ding-Yu Zhang, Lei Zhang, Yan Zhu, Hao-Rui Si, Zhengli Shi	true	true	false	0	-
EPI_ISL_402130	cov-gisaid	29857	Wuhan/WIV07/2019	Human	2019	DEC	30	2020	JAN	18	Asia / China / Hubei / Wuhan	China	Eastern Asia	Asia	Original	normal	-	Wuhan Jinyintan Hospital	Wuhan Institute of Virology, Chinese Academy of Sciences	Peng Zhou, Xing-Lou Yang, Ding-Yu Zhang, Lei Zhang, Yan Zhu, Hao-Rui Si, Zhengli Shi	true	true	false	0	-
EPI_ISL_402131	cov-gisaid	29855	bat/Yunnan/RaTG13/2013	Rhinolophus affinis	2013	JUL	24	2020	JAN	24	Asia / China / Yunnan / Pu'er	China	Eastern Asia	Asia	Original	normal	-	Wuhan Institute of Virology, Chinese Academy of Sciences	Wuhan Institute of Virology, Chinese Academy of Sciences	Yan Zhu, Ping Yu, Bei Li, Ben Hu, Hao-Rui Si, Xing-Lou Yang, Peng Zhou, Zheng-Li Shi	-	false	-	-	-
EPI_ISL_402132	cov-gisaid	29848	Wuhan/HBCDC-HB-01/2019	Human	2019	DEC	30	2020	JAN	19	Asia / China / Hubei / Wuhan	China	Eastern Asia	Asia	Original	normal	-	Wuhan Jinyintan Hospital	Hubei Provincial Center for Disease Control and Prevention	Bin Fang, Xiang Li, Xiao Yu, Linlin Liu, Bo Yang, Faxian Zhan, Guojun Ye, Xixiang Huo, Junqiang Xu, Bo Yu, Kun Cai, Jing Li, Yongzhong Jiang.	true	true	false	0	-
EPI_ISL_403928	cov-gisaid	29883	Wuhan/IPBCAMS-WH-05/2020	Human	2020	JAN	1	2020	JAN	21	Asia / China / Hubei / Wuhan	China	Eastern Asia	Asia	Original	normal	-	Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College	Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College	Lili Ren, Jianwei Wang, Qi Jin, Zichun Xiang, Zhiqiang Wu, Chao Wu, Yiwei Liu	true	true	false	0	-
EPI_ISL_403929	cov-gisaid	29890	Wuhan/IPBCAMS-WH-04/2019	Human	2019	DEC	30	2020	JAN	21	Asia / China / Hubei / Wuhan	China	Eastern Asia	Asia	Original	normal	-	Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College	Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College	Lili Ren, Jianwei Wang, Qi Jin, Zichun Xiang, Zhiqiang Wu, Chao Wu, Yiwei Liu	true	true	false	0	-
EPI_ISL_403930	cov-gisaid	29899	Wuhan/IPBCAMS-WH-03/2019	Human	2019	DEC	30	2020	JAN	21	Asia / China / Hubei / Wuhan	China	Eastern Asia	Asia	Original	normal	-	Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College	Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College	Lili Ren, Jianwei Wang, Qi Jin, Zichun Xiang, Zhiqiang Wu, Chao Wu, Yiwei Liu	true	true	false	0	-
EPI_ISL_403931	cov-gisaid	29889	Wuhan/IPBCAMS-WH-02/2019	Human	2019	DEC	30	2020	JAN	21	Asia / China / Hubei / Wuhan	China	Eastern Asia	Asia	Original	normal	-	Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College	Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College	Lili Ren, Jianwei Wang, Qi Jin, Zichun Xiang, Zhiqiang Wu, Chao Wu, Yiwei Liu	true	true	false	0	-
EPI_ISL_403932	cov-gisaid	29845	Guangdong/20SF012/2020	Human	2020	JAN	14	2020	JAN	22	Asia / China / Guandong / Shenzhen	China	Eastern Asia	Asia	Original	normal	-	Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Public Health	Department of Microbiology, Guangdong Provincial Center for Diseases Control and Prevention	Min Kang, Jie Wu, Jing Lu, Tao Liu, Baisheng Li, Shujiang Mei, Feng Ruan, Lifeng Lin, Changwen Ke, Haojie Zhong, Yingtao Zhang, Lirong Zou, Xuguang Chen, Qi Zhu, Jianpeng Xiao, Jianxiang Geng, Zhe Liu, Jianxiong Hu, Weilin Zeng, Xing Li, Yuhuang Liao, Xiujuan Tang, Songjian Xiao, Ying Wang, Yingchao Song, Xue Zhuang, Lijun Liang, Guanhao He, Huihong Deng, Tie Song, Jianfeng He, Wenjun Ma	true	true	false	0	-
